,Identificador,Nombre,Latitud,Longitud
0,Museo de Arte,Museo Nacional Centro de Arte Reina Sofía (MNCARS),40.40873653580899,-3.693821769507456
1,Museo de Arte,Museo Thyssen-Bornemisza,40.41635928605382,-3.694890813655885
2,Museo de Arte,Museo Nacional del Prado,40.413978006085095,-3.6921894550323486
3,Museo de Arte,CaixaForum Madrid,40.41101269430034,-3.6931765079498287
4,Museo de Arte,Espacio Fundación Telefónica,40.42039156250055,-3.7016173551704163
5,Museo de Arte,Palacio de Gaviria,40.41713929663129,-3.7060442727377434
6,Museo de Arte,Palacio de Velázquez,40.415139,-3.681975
7,Museo de Arte,Palacio de Linares - Casa de América,40.42025376612304,-3.6918272477800964
8,Museo de Arte,Palacio Real de Madrid,40.417939720108535,-3.7142586708068848
9,Museo de Arte,Edificio Nouvel,40.407362,-3.6946779999999997
10,Museo de Arte,Museo Cerralbo,40.423884219743115,-3.7147057160461543
11,Museo de Arte,Real Academia de Bellas Artes de San Fernando,40.417545872054006,-3.7003524388561027
12,Museo de Arte,Museo Sorolla,40.43524755218695,-3.6923740608315794
13,Museo de Arte,Central de Diseño / DIMAD,40.39201538087328,-3.6968269050224034
14,Museo de Arte,Museo Naval de Madrid,40.417720632890976,-3.693210910420808
15,Museo de Arte,Fundación Juan March,40.431018056999996,-3.681080347
16,Museo de Arte,Sala de Exposiciones Alcalá 31,40.41829484495374,-3.6982584305257324
17,Museo de Arte,Casa de México en España,40.430086637179365,-3.7095205485820766
18,Museo de Arte,Fundación Mapfre Bárbara de Braganza,40.42335591605433,-3.691982788793571
19,Museo de Arte,Museo de Escultura al Aire Libre de La Castellana,40.43323307938413,-3.688734156259141
20,Museo de Arte,Museo Nacional de Artes Decorativas,40.41806232403098,-3.6897883706624848
21,Museo de Historia,Museo Arqueológico Nacional (MAN),40.42325921497665,-3.6884316838635116
22,Museo de Historia,Imprenta Municipal,40.41366332123668,-3.7054478005352416
23,Museo de Historia,Museo Naval de Madrid,40.417720632890976,-3.693210910420808
24,Museo de Historia,Templo de Debod,40.4241644119136,-3.716843393279901
25,Museo de Historia,Museo Sorolla,40.43524755218695,-3.6923740608315794
26,Museo de Historia,Museo de Historia (Museo Municipal de Madrid),40.425690338290416,-3.7009721143035392
27,Museo de Historia,Andén Cero,40.43233402736354,-3.6976789573074513
28,Museo de Historia,Museo Lázaro Galdiano,40.436928528858616,-3.686185970297562
29,Museo de Historia,Museo Nacional de Artes Decorativas,40.41806232403098,-3.6897883706624848
30,Museo de Historia,Museo de San Isidro. Los orígenes de Madrid,40.41222482309222,-3.7107437815896014
31,Museo de Historia,Museo del Romanticismo,40.42580188257195,-3.6988496877961534
32,Museo de Historia,Museo de América,40.437810739375614,-3.7219191134537453
33,Museo de Historia,Museo de los Caños del Peral,40.418073909563276,-3.7094217700772947
34,Museo de Historia,Museo Nacional Centro de Arte Reina Sofía (MNCARS),40.40873653580899,-3.693821769507456
35,Museo de Historia,Museo Nacional de Antropología,40.407529256683524,-3.68887598553334
36,Museo de Historia,Museo de Cera,40.424942007686575,-3.6913515125841214
37,Museo de Historia,Muralla İslamica de Madrid,40.414745,-3.714719
38,Museo de Historia,Museo de la Biblioteca Nacional de España,40.423297,-3.690469
39,Museo de Historia,Archivo Regional de la Comunidad de Madrid,40.39957992587171,-3.690020911149679
40,Museo de Historia,Fundacion Infante De Orleans Cuatro Vientos,40.36774063103272,-3.7751276412944463
41,Escultura Exterior,Luminoso tío pepe,40.41677112290821,-3.703343659724496
42,Escultura Exterior,Monumento a miguel de cervantes,40.415615,-3.6965072
43,Escultura Exterior,Casa de papá noel,40.416033826130594,-3.704200914639627
44,Escultura Exterior,Ángel estrellado,40.415672302246094,-3.709996461868286
45,Escultura Exterior,Stormtrooper #facetheforce,40.408771,-3.693228
46,Escultura Exterior,Monumento a jacinto benavente,40.415261,-3.6870629999999998
47,Escultura Exterior,Casco resistance pilot,40.42321186543676,-3.711123903856017
48,Escultura Exterior,Captain phasma #facetheforce,40.422420067343594,-3.688292035165986
49,Escultura Exterior,Monumento a don blas de lezo y olavarrieta,40.423825640021185,-3.688931068399103
