,Identificador,Nombre,Latitud,Longitud
0,Restaurante Italiano,Ôven Mozzarella Bar,40.41924524133954,-3.6978500877927485
1,Restaurante Italiano,Pizzaiolo,40.42379534723905,-3.698597330722856
2,Restaurante Italiano,La Tavernetta,40.42607635914717,-3.6941559395385597
3,Restaurante Italiano,Pizzeria Italiana Piccolo Diavolo,40.4115292313695,-3.695595850047005
4,Restaurante Italiano,Nina Pasta Bar,40.409508,-3.7088363
5,Restaurante Italiano,Trattoria Malatesta,40.416788,-3.707182
6,Restaurante Italiano,la saletta,40.41163590801957,-3.6986855712936584
7,Restaurante Italiano,Fellina,40.430752,-3.694272
8,Restaurante Italiano,Numa,40.42332677352945,-3.6836398220709308
9,Restaurante Italiano,Trattoria In Crescendo,40.39458232012004,-3.6983880942169574
10,Restaurante Italiano,Trattoria Arcangelo,40.41336961522739,-3.6902642454019836
11,Restaurante Italiano,Flavia Restaurante & Bar,40.42247356448254,-3.689587219885726
12,Restaurante Italiano,Trattoria Popolare,40.427536,-3.700076
13,Restaurante Italiano,La Mucca,40.427174,-3.701826
14,Restaurante Italiano,Don Giovanni,40.407648,-3.680188
15,Restaurante Italiano,Orsomatto,40.434012899977404,-3.7156319618225093
16,Restaurante Italiano,Grosso Napoletano,40.42602629298819,-3.6770535074744846
17,Restaurante Italiano,La Tagliatella,40.41973334799455,-3.706735265471105
18,Restaurante Italiano,Pizzería Vesuvio,40.4205749566079,-3.700829195519843
19,Restaurante Italiano,Bosco de Lobos,40.424150785649374,-3.6990139940797278
20,Restaurante Italiano,Matteo Cucina Italiana,40.427054401800795,-3.685701435792598
21,Restaurante Italiano,Aió,40.42245957839195,-3.703875015403938
22,Restaurante Italiano,Trattoria Manzoni,40.439707551603554,-3.6994823994838995
23,Restaurante Italiano,Grosso Napoletano,40.433806482172656,-3.698192419929712
24,Restaurante Italiano,Numa Pompilio,40.423323,-3.684077
25,Restaurante Italiano,Restaurante A vÁnvera,40.439819598028876,-3.692768587460466
26,Restaurante Italiano,Gioia Restaurante,40.422075,-3.69859
27,Restaurante Italiano,Anema e Core,40.41798081014006,-3.7083301999038505
28,Restaurante Italiano,Ôven Mozzarella Bar,40.409570819758954,-3.693256875486928
29,Restaurante Italiano,Reginella,40.4449790213537,-3.6957598243400587
30,Restaurante Italiano,Mercato Ballaró,40.43101226275812,-3.6969885796680155
31,Restaurante Italiano,Propaganda,40.420922,-3.69733
32,Restaurante Italiano,Trattoria Pulcinella,40.424623321374746,-3.6964957038692723
33,Restaurante Italiano,Accademia Del Gusto,40.44291207911045,-3.6962358102437545
34,Restaurante Italiano,Regno di Napoli Madrid,40.42787497934474,-3.703507731822995
35,Restaurante Italiano,La Mafia se sienta a la mesa,40.425704898432215,-3.688945279786655
