,Identificador,Nombre,Latitud,Longitud
0,Escultura Exterior,Luminoso Tío Pepe,40.41677112290821,-3.7033436597244958
1,Escultura Exterior,Monumento A Miguel De Cervantes,40.415615,-3.6965072
2,Escultura Exterior,Casa De Papá Noel,40.416033826130594,-3.704200914639627
3,Escultura Exterior,Ángel estrellado,40.415672302246094,-3.709996461868286
4,Escultura Exterior,Stormtrooper #FacetheForce,40.408771,-3.693228
5,Escultura Exterior,Monumento A Jacinto Benavente,40.415261,-3.687063
6,Escultura Exterior,Casco Resistance Pilot,40.42321186543676,-3.711123903856017
7,Escultura Exterior,Captain Phasma #FaceTheForce,40.42242006734359,-3.6882920351659862
8,Escultura Exterior,Monumento a Don Blas de Lezo y Olavarrieta,40.423825640021185,-3.6889310683991026
9,Escultura Exterior,Casco Captain Phasma,40.425357818603516,-3.6910736560821533
10,Escultura Exterior,Imperial Pilot #FacetheForce,40.40098,-3.699629
11,Escultura Exterior,al pueblo del dos de mayo,40.423203020141955,-3.714657619618259
12,Escultura Exterior,Darth Vader #FaceTheForce,40.42942,-3.702636
13,Escultura Exterior,Puerta de Sainz de Baranda,40.417069,-3.678573
14,Escultura Exterior,Puerta de Herrero Palacios,40.414833,-3.677783
15,Escultura Exterior,monumento a Sor Juana Inés de la Cruz,40.4181411665293,-3.7255923881059068
16,Escultura Exterior,la mano de botero,40.44117612529173,-3.6915913167841334
17,Escultura Exterior,Monumento a Bravo Murillo,40.43883790334018,-3.7039729726094808
18,Escultura Exterior,los portadores de la antorcha,40.443877,-3.726062
19,Escultura Exterior,estatua de Julian Besteiro,40.447541,-3.6807
20,Escultura Exterior,monumento  José Martí,40.45004285289405,-3.6897781714128612
21,Escultura Exterior,Busto de Beethoven en el Parque de berlin,40.450696105605296,-3.676122223399171
22,Escultura Exterior,Monumento a Vicente Aleixandre,40.445936,-3.71436
23,Escultura Exterior,monumento a Calvo Sotelo,40.457461,-3.707055
24,Escultura Exterior,monumento a las victimas del terrorismo,40.458989,-3.677032
25,Escultura Exterior,Viaje Interior,40.461183,-3.602999
