,Identificador,Nombre,Latitud,Longitud
0,Restaurante Español,Toga,40.41111841899132,-3.70667299456038
1,Restaurante Español,El Barril de las Letras,40.41435989216732,-3.6967134353360627
2,Restaurante Español,Casa Pueblo,40.41461381230456,-3.6985981117031463
3,Restaurante Español,Astór Gastrobar,40.41273,-3.709617
4,Restaurante Español,El Paraguas,40.42386542247894,-3.685813532393988
5,Restaurante Español,Cannibal Raw Bar,40.42250153573088,-3.694248172533777
6,Restaurante Español,Restaurante Viva Madrid,40.41516746717612,-3.6998336282593405
7,Restaurante Español,Bodegas Rosell,40.403802520431654,-3.6906202941279647
8,Restaurante Español,Mercado de Antón Martín,40.41152590000001,-3.6987288
9,Restaurante Español,Bar La Campana,40.414881954231625,-3.706774570000363
10,Restaurante Español,Pez Tortilla,40.4242382067626,-3.706568309829162
11,Restaurante Español,La Maruca,40.42747655521919,-3.6839650810190783
12,Restaurante Español,La Manduca de Azagra,40.428413255,-3.69965323
13,Restaurante Español,Membibre,40.434911771333695,-3.7131862406723166
14,Restaurante Español,Las Tortillas de Gabino,40.43397126970508,-3.693840964089531
15,Restaurante Español,Museo del Jamón,40.416343036500216,-3.7056822482813363
16,Restaurante Español,Venta El Buscón,40.41611688876583,-3.7017447829143073
17,Restaurante Español,El Senador,40.42076966674159,-3.7114585151950705
18,Restaurante Español,La Tasquería,40.42238601054716,-3.673697687593717
19,Restaurante Español,Muñagorri,40.43129825360115,-3.6773280703427838
20,Restaurante Español,Restaurante Lakasa,40.440735363841156,-3.700766735265493
21,Restaurante Español,Cabreira,40.42735906133265,-3.7039847530463748
22,Restaurante Español,Cañadío,40.433172445427076,-3.675035662601485
23,Restaurante Español,Castelados,40.42070698286369,-3.6790904867593115
24,Restaurante Español,Lamucca,40.423160346582144,-3.7040597217866043
25,Restaurante Español,El Pimiento Verde,40.428865543369945,-3.7154014044180075
26,Restaurante Español,Cuevas El Secreto,40.41571802886517,-3.7026156381668383
27,Restaurante Español,El Gran Barril,40.424551794594144,-3.6731258506053215
28,Restaurante Español,Makkila Serrano,40.435157917226896,-3.686353353436428
29,Restaurante Español,TreZe Restaurante & Bar,40.42718847645551,-3.678429449556118
30,Restaurante Español,la gaditana,40.42486448041017,-3.670859723201479
31,Restaurante Español,O Pazo de Lugo,40.407589,-3.696473
32,Restaurante Español,La Casa del Abuelo,40.4158078467863,-3.701593251107847
33,Restaurante Español,La Antoñita,40.4130849147541,-3.7085505691060217
34,Restaurante Español,Casa Benigna,40.44809073514549,-3.6742265886202774
35,Restaurante Español,Mallorca,40.421204795826974,-3.688435136949225
36,Restaurante Español,ORIO Fuencarral,40.423747918148486,-3.70071716655042
37,Restaurante Español,Restaurante El Urogallo,40.418807569928816,-3.7347026548739986
38,Restaurante Español,Puerto Lagasca,40.431219885426884,-3.6851105188799234
39,Restaurante Español,Okafú,40.42373014673907,-3.6836658076540942
40,Restaurante Español,Lateral,40.41457050395633,-3.701133477680609
41,Restaurante Español,En Busca del Tiempo,40.415625674100674,-3.702600895741347
42,Restaurante Español,KultO,40.41838587249439,-3.6782228944652724
43,Restaurante Español,Casa Mingo,40.42482903955803,-3.725446671900649
44,Restaurante Español,Sagardi Castellana,40.42791007849647,-3.6899738493773575
45,Restaurante Español,La Tasquita de Enfrente,40.421278637837744,-3.7035917760774484
46,Restaurante Español,InClan Brutal Bar,40.41502338061646,-3.7018643661445174
47,Restaurante Español,La Máquina de Chamberí,40.44009910412479,-3.6991923103876307
48,Restaurante Español,Mesón Txistu,40.46253358253271,-3.693554816416552
49,Restaurante Español,La Casita del Pradal,40.45850905045048,-3.655370363275412
50,Restaurante Español,Rosi La Loca,40.415821011717526,-3.7029546044326276
51,Restaurante Español,De María,40.463408449110624,-3.6882601044052623
52,Restaurante Español,Casa de Valencia,40.429916808561934,-3.722415498649063
53,Restaurante Español,El Qüenco de Pepa,40.460250549345105,-3.6845505164314756
54,Restaurante Español,Restaurante Rías Bajas,40.44259758352577,-3.6713163349261633
55,Restaurante Español,Viavélez,40.452314878141024,-3.6981016013788146
56,Restaurante Español,La Ancha,40.4490694858795,-3.6776593243227795
57,Restaurante Español,Ondiñas do Mendo,40.45688307624961,-3.7051649232278328
58,Restaurante Español,Paraíso del Jamon,40.41776141716171,-3.708355925075935
59,Restaurante Español,Casa Juan,40.464015,-3.69317
60,Restaurante Español,El Hórreo Asturiano,40.46238984809028,-3.6876584378337895
61,Restaurante Español,El Cacique,40.46258697891609,-3.685273363777068
62,Restaurante Español,Macarena Madrid,40.3906324,-3.6912615999999616
63,Restaurante Español,Casa Labra,40.41715,-3.7045143
64,Restaurante Español,El Escondite,40.42236354072943,-3.685975461088586
65,Restaurante Español,La Raquetista,40.42046271831923,-3.6771653141330463
66,Restaurante Español,Mercado de San Ildefonso,40.42423010607013,-3.700819251110139
67,Restaurante Español,Casa Lobo,40.45161998001642,-3.6497486811054713
68,Restaurante Español,Alimentación Quiroga,40.413759722199444,-3.6994574585588165
69,Restaurante Español,Carmen Bar,40.427984394682504,-3.686164944816749
70,Restaurante Español,Casa Dani,40.427095859479174,-3.6857193669863895
71,Restaurante Español,Laredo,40.42031260723626,-3.6751586693950693
72,Restaurante Español,Loreto Coffee-Bar,40.421893687786024,-3.7044925983224224
73,Restaurante Español,Urrechu,40.41943525634492,-3.7969799722620774
74,Restaurante Español,Juan Raro,40.407007881585116,-3.7010805819249994
75,Restaurante Español,Vivares,40.422396252036314,-3.6994208517652574
76,Restaurante Español,Platea Madrid,40.426083288964996,-3.68866416486341
77,Restaurante Español,La Bobia,40.41138987927906,-3.7076682972878503
78,Restaurante Español,La Tita Rivera,40.42236378502141,-3.7003691876569693
79,Restaurante Español,Sala de Despiece,40.43791464602439,-3.6994044892866325
80,Restaurante Español,O'Buraco,40.439775,-3.676111
81,Restaurante Español,El Recuerdo,40.44722910729116,-3.6985534333258663
82,Restaurante Español,Matador,40.4146306440801,-3.7029469756383695
83,Restaurante Español,Restaurante Ferreiro,40.42170061418621,-3.721648614221445
84,Restaurante Español,Jaizkibel,40.43888537380006,-3.6226297293835628
85,Restaurante Español,Trasgu,40.39744996061972,-3.620755577527213
86,Restaurante Español,Cervecería Jarritus,40.43027092237046,-3.6643420677700576
87,Restaurante Español,Restaurante Triana,40.41966385861264,-3.676106334700902
88,Restaurante Español,Ten Con Ten,40.427880944967086,-3.6884764005263433
89,Restaurante Español,La Pequeña Graná,40.39957392916725,-3.6985499739321477
90,Restaurante Español,La Cumbre,40.437495375777424,-3.7930658799314436
91,Restaurante Español,La Musa Latina,40.41283455101768,-3.7117671604527014
92,Restaurante Español,El Capataz,40.44922481855915,-3.6942122154581316
93,Restaurante Español,La Tahona,40.45743209541343,-3.692775662039696
94,Restaurante Español,Alma Cheli,40.437099834696326,-3.6995737916596436
95,Restaurante Español,José Luis,40.440667744631554,-3.7154765342808385
96,Restaurante Español,Jurucha,40.42775970528889,-3.6857616768254275
97,Restaurante Español,Taberna Cazorla,40.43138511884835,-3.6780925380180283
98,Restaurante Español,Lateral,40.42313488092766,-3.700817360501268
99,Restaurante Español,Restaurante Orgaz,40.454565853531776,-3.6223531108215696
