,id,host_id,neighbourhood_group,neighbourhood,room_type,price,latitude,longitude,minimum_nights,number_of_reviews,availability_365,host_name
0,6369,13660,Chamartín,Hispanoamérica,Private room,50,40.457240000000006,-3.67688,1,78,84,Simon
1,21853,83531,Latina,Cármenes,Private room,31,40.40341,-3.74084,4,33,364,Abdel
2,23001,82175,Arganzuela,Legazpi,Entire home/apt,60,40.38695,-3.6930400000000003,15,0,365,Jesus
3,24805,101471,Centro,Universidad,Entire home/apt,92,40.42202,-3.70395,4,10,88,Iraido
4,24836,101653,Centro,Justicia,Entire home/apt,115,40.41995,-3.6976400000000003,3,68,358,Tenty
5,26825,114340,Arganzuela,Legazpi,Private room,26,40.38985,-3.69011,2,149,365,Agustina
6,30320,130907,Centro,Sol,Entire home/apt,65,40.41552,-3.7034599999999998,5,170,365,Dana
7,30959,132883,Centro,Embajadores,Entire home/apt,54,40.41111,-3.70269,3,8,0,Angela
8,37859,162701,Centro,Palacio,Entire home/apt,1400,40.4198,-3.71078,3,0,365,Nacho
9,40718,34217435,Centro,Justicia,Entire home/apt,78,40.419779999999996,-3.6973,3,120,0,Luis
10,40916,130907,Centro,Universidad,Entire home/apt,90,40.42096,-3.7042800000000002,5,48,365,Dana
11,59923,288380,Centro,Palacio,Private room,40,40.419709999999995,-3.71256,1,17,297,Patricia
12,62423,303845,Centro,Justicia,Private room,24,40.4208,-3.69878,1,79,365,Arturo
13,64131,313365,Fuencarral - El Pardo,Peñagrande,Private room,21,40.48409,-3.7225699999999997,2,34,365,Gina
14,70059,353616,Centro,Universidad,Entire home/apt,51,40.42365,-3.7088900000000002,5,50,0,Diana
15,70310,353738,Centro,Universidad,Entire home/apt,56,40.42252,-3.7025,28,20,364,Raquel
16,70316,353738,Centro,Palacio,Entire home/apt,75,40.42191,-3.7103800000000002,28,7,365,Raquel
17,72150,364585,Centro,Embajadores,Entire home/apt,80,40.4115,-3.7044900000000003,2,110,180,Vin
18,72955,378073,Centro,Cortes,Entire home/apt,106,40.411390000000004,-3.6940800000000005,3,19,365,Alvaro
19,74352,391014,Centro,Embajadores,Entire home/apt,80,40.41075,-3.70759,8,5,363,Juan
20,75609,401552,Centro,Embajadores,Entire home/apt,64,40.40743,-3.69719,3,56,2,Mercedes
21,82481,448981,Salamanca,Recoletos,Entire home/apt,63,40.42315,-3.6827900000000002,3,108,0,Mercedes
22,84719,259229,Centro,Embajadores,Entire home/apt,70,40.40865,-3.70534,1,185,36,Felipe
23,86042,364585,Centro,Embajadores,Entire home/apt,104,40.40939,-3.69812,2,154,180,Vin
