,Identificador,Nombre,Latitud,Longitud
0,Metro Station,Andén Cero,40.43233402736354,-3.697678957307451
1,Metro Station,Metro Sol,40.416881555677016,-3.703038460187899
2,Metro Station,Metro Sevilla,40.41789417619993,-3.6994047652313466
3,Metro Station,Metro Embajadores,40.404755238327205,-3.7024689241444477
4,Metro Station,Metro Tirso de Molina,40.41238561913413,-3.7049683207761896
5,Metro Station,Metro Madrid Línea 3,40.40992829279583,-3.7024033953240454
6,Metro Station,Metro Gran Vía,40.420020065824396,-3.7017938283759775
7,Metro Station,Metro Antón Martín,40.41192762537371,-3.6980581283569336
8,Metro Station,Metro Lavapiés,40.40839970637966,-3.7007423219895803
9,Metro Station,Metro Banco de España,40.41906508541828,-3.694330973950071
10,Metro Station,Metro Callao,40.42016543090694,-3.7057899845796194
11,Metro Station,Metro La Latina,40.41126847727361,-3.7083964447096363
12,Metro Station,Metro Ópera,40.41812353769271,-3.709437629355202
13,Metro Station,Metro Estación del Arte,40.409006950130696,-3.692424891585775
14,Metro Station,Metro Chueca,40.42266353598151,-3.6976138174242887
15,Metro Station,Metro Santo Domingo,40.42084177364492,-3.7081504210156364
16,Metro Station,Metro Puerta de Toledo,40.406850900175975,-3.710856014859331
17,Metro Station,Metro Atocha Renfe,40.40695083625721,-3.6893874677871485
18,Metro Station,Metro Noviciado,40.42477740373028,-3.7073322247181424
19,Metro Station,Metro Estación de Chamberí,40.43229458790591,-3.6976372337750667
20,Metro Station,El Abismo De Helm,40.42621538053006,-3.7009176797847605
21,Metro Station,Metro Tribunal,40.42620465394494,-3.70112619682605
22,Metro Station,Metro Acacias,40.40378672197676,-3.706528777705743
23,Metro Station,Metro Palos de la Frontera,40.40304742224402,-3.6941193644894432
24,Metro Station,Metro Plaza de España,40.42348084124289,-3.7121368158177663
25,Metro Station,Metro Retiro,40.420759746569594,-3.6858312785625458
26,Metro Station,Metro Colón,40.425543923665536,-3.691180944442749
27,Metro Station,Metro Alonso Martínez,40.4275762409139,-3.69576088323938
28,Metro Station,Metro Madrid Línea 4,40.427057321765034,-3.6933539376326254
29,Metro Station,Metro Madrid Línea 1,40.411555847534444,-3.697353191046533
30,Metro Station,Metro Bilbao,40.429021296323235,-3.701867035011236
31,Metro Station,Metro Serrano,40.42539249973215,-3.687638149055557
32,Metro Station,Metro Príncipe Pío,40.42127330979784,-3.719025624452134
33,Metro Station,Metro San Bernardo,40.42981234805346,-3.7058381237053455
34,Metro Station,Metro Ventura Rodríguez,40.42701706655422,-3.7136279028135784
35,Metro Station,Metro Pirámides,40.401517748050296,-3.712786580358408
36,Metro Station,Metro Delicias,40.399173827389426,-3.6941125788631264
37,Metro Station,Metro Velázquez,40.42512215114281,-3.6834772537791345
38,Metro Station,Metro Ibiza,40.418376133313686,-3.6780330527280696
39,Metro Station,Metro Príncipe de Vergara,40.42298913134247,-3.679768489081434
40,Metro Station,Estación de Madrid-Puerta de Atocha,40.406466953350915,-3.6898029407203756
41,Metro Station,Metro Menéndez Pelayo,40.40446250842396,-3.6808060238632576
42,Metro Station,Metro Quevedo,40.433347408219355,-3.704498582773271
43,Metro Station,Metro Argüelles,40.430423719598075,-3.7159350514411926
44,Metro Station,Metro Goya,40.424880505551144,-3.6775498879615336
45,Metro Station,Metro Iglesia,40.43490906989403,-3.698559992164844
46,Metro Station,Metro Rubén Darío,40.43317518687901,-3.6892629725673958
47,Metro Station,Metro Nuevos Ministerios,40.44619324375705,-3.6923790149464097
48,Metro Station,Metro Puerta del Ángel,40.41395093791891,-3.7271787698295147
49,Metro Station,Metro Marqués de Vadillo,40.39732483025866,-3.7154725209025163
50,Metro Station,Metro Madrid Línea 6 Circular,40.429721119378,-3.6772712215486263
51,Metro Station,Metro Arganzuela-Planetario,40.393138028533095,-3.6888664159146485
52,Metro Station,Metro Sáinz de Baranda,40.41511923434869,-3.6696249326159633
53,Metro Station,Metro Legazpi,40.3915305822024,-3.6947881264027895
54,Metro Station,Metro Pacífico,40.40154621177326,-3.674683426303285
55,Metro Station,Metro Alonso Cano,40.43843711893367,-3.6986463587574305
56,Metro Station,Metro Canal,40.43834580929538,-3.704303071767594
57,Metro Station,Metro Lista,40.42922133754159,-3.675437660394494
58,Metro Station,Metro Núñez de Balboa,40.43264732925246,-3.6794972419738765
59,Metro Station,Metro Conde de Casal,40.406949787789664,-3.6702398388958084
60,Metro Station,Madrid España,40.402805,-3.6725018
61,Metro Station,Metro Madrid Línea 10,40.4380520907568,-3.691507098209752
62,Metro Station,Metro de Madrid S.A.,40.40570007,-3.670633
63,Metro Station,Metro Gregorio Marañón,40.438050651972304,-3.691388007405888
64,Metro Station,Metro Moncloa,40.434569014631734,-3.719026763417271
65,Metro Station,Metro O'Donnell,40.42218379724139,-3.668963143078753
66,Metro Station,Metro Méndez Álvaro,40.3952962918784,-3.6784251985800007
67,Metro Station,Metro Manuel Becerra,40.42662941600543,-3.670250478795358
68,Metro Station,Metro Islas Filipinas,40.43914725897487,-3.7130624055862427
69,Metro Station,Metro Lago,40.41641583469974,-3.7355986255348337
70,Metro Station,Metro Diego de León,40.43242673606803,-3.673956011278867
71,Metro Station,Metro Ríos Rosas,40.44205008363877,-3.7011678971670556
72,Metro Station,Metro Urgel,40.39327324035781,-3.723728452998159
73,Metro Station,Metro Usera,40.38702531406906,-3.7065448128770853
74,Metro Station,Metro Avenida de América,40.43797111884382,-3.678147845470835
75,Metro Station,Metro Alto de Extremadura,40.409811002137005,-3.738983803206877
76,Metro Station,Metro Puente de Vallecas,40.3952555284871,-3.66953084689336
77,Metro Station,Metro Almendrales,40.384111889901305,-3.6979249179127227
78,Metro Station,Metro Estrella,40.411176,-3.659498691558838
79,Metro Station,Metro Madrid Línea 8 (Nuevos Ministerios - Aeropuerto),40.445477752377386,-3.691766929219179
80,Metro Station,Metro Madrid Línea 4,40.44386583879446,-3.717378699162302
81,Metro Station,Metro Cuatro Caminos,40.44654494597261,-3.70363712310791
82,Metro Station,Metro República Argentina,40.44484484004027,-3.684770066705797
83,Metro Station,Metro Ventas,40.431086658876275,-3.663422508660525
84,Metro Station,Metro Madrid Línea 5,40.43111330912876,-3.663383674096726
85,Metro Station,Metro Cartagena,40.43945943245279,-3.6722108818473718
86,Metro Station,Metro Guzmán el Bueno,40.44597860615664,-3.7133380337054724
87,Metro Station,Metro Opañel,40.38586411039761,-3.7212014780049127
88,Metro Station,Metro Plaza Elíptica,40.38584590342171,-3.7212296875969
89,Metro Station,Metro Nueva Numancia,40.39623899750952,-3.663643410241921
90,Metro Station,Metro Vicente Aleixandre,40.44637777947443,-3.7187417720793614
91,Metro Station,Metro Oporto,40.38857314059954,-3.7310854463857526
92,Metro Station,Metro Ciudad Universitaria,40.44352553580991,-3.7269016254036664
